Code,Account Name,Parent Code,Account Type,Normal Balance,Allow Posting,Currency
1000,ASSETS,,ASSET,DEBIT,NO,IDR
1100,Cash & Bank,1000,ASSET,DEBIT,NO,IDR
1101,Cash on Hand,1100,ASSET,DEBIT,YES,IDR
1111,Bank - IDR,1100,ASSET,DEBIT,YES,IDR
1200,Receivables,1000,ASSET,DEBIT,NO,IDR
1201,Trade Receivables,1200,ASSET,DEBIT,YES,IDR
1300,Inventory,1000,ASSET,DEBIT,NO,IDR
1301,Merchandise Inventory,1300,ASSET,DEBIT,YES,IDR
1302,Goods in Transit,1300,ASSET,DEBIT,YES,IDR
1400,Tax & Prepaid Assets,1000,ASSET,DEBIT,NO,IDR
1401,VAT Input,1400,ASSET,DEBIT,YES,IDR
1402,Prepaid / Withholding Tax,1400,ASSET,DEBIT,YES,IDR
1501,Prepaid Expenses,1000,ASSET,DEBIT,YES,IDR
1600,Fixed Assets,1000,ASSET,DEBIT,NO,IDR
1601,Office & Warehouse Equipment,1600,ASSET,DEBIT,YES,IDR
1602,Vehicles,1600,ASSET,DEBIT,YES,IDR
1691,Accumulated Depreciation,1600,ASSET,CREDIT,YES,IDR
2000,LIABILITIES,,LIABILITY,CREDIT,NO,IDR
2101,Trade Payables,2000,LIABILITY,CREDIT,YES,IDR
2201,Accrued Expenses,2000,LIABILITY,CREDIT,YES,IDR
2202,Customer Deposits / Advances,2000,LIABILITY,CREDIT,YES,IDR
2300,Tax Payables,2000,LIABILITY,CREDIT,NO,IDR
2301,VAT Output,2300,LIABILITY,CREDIT,YES,IDR
2302,Withholding Tax Payable,2300,LIABILITY,CREDIT,YES,IDR
2401,Short-term Bank Loan,2000,LIABILITY,CREDIT,YES,IDR
3000,EQUITY,,EQUITY,CREDIT,NO,IDR
3101,Paid-in Capital,3000,EQUITY,CREDIT,YES,IDR
3201,Retained Earnings,3000,EQUITY,CREDIT,YES,IDR
3301,Current Year Earnings,3000,EQUITY,CREDIT,YES,IDR
4000,REVENUE,,REVENUE,CREDIT,NO,IDR
4101,Product Sales,4000,REVENUE,CREDIT,YES,IDR
4102,Service Income,4000,REVENUE,CREDIT,YES,IDR
4191,Sales Returns,4000,REVENUE,DEBIT,YES,IDR
4192,Sales Discounts,4000,REVENUE,DEBIT,YES,IDR
5000,COST OF GOODS SOLD,,EXPENSE,DEBIT,NO,IDR
5101,Merchandise COGS,5000,EXPENSE,DEBIT,YES,IDR
5102,Inbound Freight / Landed Cost,5000,EXPENSE,DEBIT,YES,IDR
5103,Inventory Variance,5000,EXPENSE,DEBIT,YES,IDR
6000,SELLING EXPENSES,,EXPENSE,DEBIT,NO,IDR
6101,Sales Salaries,6000,EXPENSE,DEBIT,YES,IDR
6102,Sales Commission & Incentive,6000,EXPENSE,DEBIT,YES,IDR
6103,Promotion & Advertising,6000,EXPENSE,DEBIT,YES,IDR
6104,Freight Out / Delivery,6000,EXPENSE,DEBIT,YES,IDR
7000,GENERAL & ADMIN EXPENSES,,EXPENSE,DEBIT,NO,IDR
7101,Administrative Salaries,7000,EXPENSE,DEBIT,YES,IDR
7102,Rent,7000,EXPENSE,DEBIT,YES,IDR
7103,Electricity & Water,7000,EXPENSE,DEBIT,YES,IDR
7104,Internet & Telephone,7000,EXPENSE,DEBIT,YES,IDR
7105,Office Supplies,7000,EXPENSE,DEBIT,YES,IDR
7106,Repairs & Maintenance,7000,EXPENSE,DEBIT,YES,IDR
7107,Software & IT,7000,EXPENSE,DEBIT,YES,IDR
7110,Bank Charges,7000,EXPENSE,DEBIT,YES,IDR
7111,Depreciation Expense,7000,EXPENSE,DEBIT,YES,IDR
8000,OTHER INCOME / EXPENSE,,EXPENSE,DEBIT,NO,IDR
8101,Interest Income,8000,REVENUE,CREDIT,YES,IDR
8201,Interest Expense,8000,EXPENSE,DEBIT,YES,IDR
8301,Foreign Exchange Gain,8000,REVENUE,CREDIT,YES,IDR
8302,Foreign Exchange Loss,8000,EXPENSE,DEBIT,YES,IDR
9000,INCOME TAX,,EXPENSE,DEBIT,NO,IDR
9101,Corporate Income Tax,9000,EXPENSE,DEBIT,YES,IDR
